iter	Logloss
0	0.6597457767
1	0.6296684944
2	0.6082762127
3	0.5893016331
4	0.5684994075
5	0.5479537398
6	0.5326637485
7	0.5168557282
8	0.5008590942
9	0.4867729477
10	0.4771046179
11	0.4644414763
12	0.4559577785
13	0.4481180776
14	0.441893928
15	0.4314973932
16	0.4251701918
17	0.419665583
18	0.4124116243
19	0.4079244243
20	0.3989667844
21	0.3920804996
22	0.3854358258
23	0.3793677243
24	0.3730785957
25	0.3682820274
26	0.3621994555
27	0.3588614657
28	0.3556835583
29	0.3526208887
30	0.3497258598
31	0.345372364
32	0.3380279106
33	0.3352896192
34	0.3330239444
35	0.3286454905
36	0.3217334663
37	0.3166446512
38	0.3147353276
39	0.3109083751
40	0.3087739538
41	0.3052327359
42	0.3037484838
43	0.3014322072
44	0.2961329151
45	0.2935587458
46	0.2898795227
47	0.2878452225
48	0.2856782999
49	0.2837736128
50	0.282352695
51	0.2810007004
52	0.2790235177
53	0.2739611238
54	0.2725205794
55	0.2713839407
56	0.2682531718
57	0.267064862
58	0.2610235175
59	0.2585911201
60	0.2574506151
61	0.254919833
62	0.2537757529
63	0.2525186147
64	0.2504784318
65	0.2472205788
66	0.2459987654
67	0.2424274403
68	0.2414810683
69	0.2386821934
70	0.2358307975
71	0.2348663756
72	0.2341449407
73	0.2334380048
74	0.2314776823
75	0.2292023666
76	0.2282425844
77	0.2275555698
78	0.2268423221
79	0.2250474405
80	0.2228657946
81	0.2222102895
82	0.2208443674
83	0.2190818358
84	0.2182652375
85	0.2173470444
86	0.2165159924
87	0.2157614128
88	0.2151118558
89	0.2145425248
90	0.2137968849
91	0.2132189968
92	0.2121634562
93	0.2116148911
94	0.2101330371
95	0.2094968077
96	0.2088255212
97	0.2080986215
98	0.2075131528
99	0.2068807099
100	0.2061967994
101	0.2055605779
102	0.2049594822
103	0.2036493585
104	0.2023804696
105	0.2012772581
106	0.1995944344
107	0.1990838452
108	0.1984622562
109	0.1977244045
110	0.1966636139
111	0.1961997899
112	0.1951882248
113	0.1943506424
114	0.193202786
115	0.1927545036
116	0.1924135376
117	0.1918861271
118	0.191388267
119	0.1907942436
120	0.1903453974
121	0.1897966848
122	0.1892248238
123	0.1886590988
124	0.1881911542
125	0.1869547057
126	0.1864767467
127	0.1855152339
128	0.1845258663
129	0.1840235557
130	0.1837145843
131	0.1832649866
132	0.181666225
133	0.1812400385
134	0.1807961293
135	0.1803798979
136	0.1799466577
137	0.1794711983
138	0.1785622964
139	0.1774030901
140	0.1768748057
141	0.1759204232
142	0.1754977109
143	0.1752132711
144	0.1747447892
145	0.1743260255
146	0.1738827038
147	0.1732769164
148	0.1728268198
149	0.1725132805
150	0.1721242646
151	0.1717809742
152	0.1714283528
153	0.1711357784
154	0.170692226
155	0.1702944872
156	0.1699375034
157	0.1693076612
158	0.1689741969
159	0.1678345991
160	0.1674570416
161	0.1670953261
162	0.1666448606
163	0.1664178684
164	0.1660922392
165	0.1656973092
166	0.1653398067
167	0.1649406867
168	0.1646344955
169	0.1642960533
170	0.163887134
171	0.1635649552
172	0.1632178981
173	0.162280045
174	0.1618656568
175	0.1615097421
176	0.1609712529
177	0.1605729582
178	0.1600338155
179	0.159522509
180	0.1591554161
181	0.1586976223
182	0.1584193241
183	0.1580695772
184	0.157716536
185	0.1572664255
186	0.1569807362
187	0.1560165403
188	0.1557225094
189	0.1547524419
190	0.1541219488
191	0.1533991279
192	0.1526618353
193	0.1524746447
194	0.152137407
195	0.1518102938
196	0.1514989278
197	0.1511645127
198	0.1506804969
199	0.1504213318
